Code,Streets,Print_Count,lat,lon,Installation_Status,LGA
FAG_42,IJEBU ROAD,2,12.0242939,8.532439152,Pending,FAGGE
FAG_83,SANUSI STREET,2,12.02736588,8.531807698,Pending,FAGGE
FAG_77,SABON GARI ROAD,2,12.02733444,8.536181948,Pending,FAGGE
FAG_55,MAHOGANY STREET,2,12.0285795,8.537326044,Pending,FAGGE
FAG_46,IROKO AVENUE,2,12.03079701,8.534824003,Pending,FAGGE
FAG_48,KABBA STREET,2,12.03257853,8.534605725,Pending,FAGGE
NAS_66,BALLAT HUGHES AVENUE,2,12.02569144,8.539555094,Pending,NASSARAWA
NAS_14,ABBAS ROAD,2,12.02356238,8.540009952,Pending,NASSARAWA
FAG_51,KING'S GARDEN ROAD,2,12.02486281,8.542817728,Pending,FAGGE
FAG_22,BROTHER STREET,2,12.02327488,8.543985654,Pending,FAGGE
TAR_135,SERVICE STREET,2,11.94145866,8.556517658,Pending,TARAUNI
TAR_162,YAR AKWA LAYIN CEMENT STREET,2,11.94162704,8.556898361,Pending,TARAUNI
NAS_118,GARKI ROAD,2,11.94202045,8.55784802,Pending,NASSARAWA
TAR_97,MAL ADAM STREET,2,11.94272739,8.559565567,Pending,TARAUNI
TAR_122,R KABIRU STREET,2,11.94069059,8.561554052,Pending,TARAUNI
TAR_126,SABON MASALLACI STREET,2,11.93667304,8.55996523,Pending,TARAUNI
TAR_156,YAKUBU BOKOTI STREET,2,11.93748438,8.556584839,Pending,TARAUNI
TAR_15,ALMAGHILI STREET,2,11.93817239,8.55577063,Pending,TARAUNI
TAR_161,YAR AKWA B LAYIN HARU STREET,2,11.93855679,8.555333744,Pending,TARAUNI
TAR_103,MAL. KHIDIR BASHIR STREET,2,11.93970968,8.555391579,Pending,TARAUNI
TAR_12,ALHAJI BALA STREET,2,11.93967466,8.554928106,Pending,TARAUNI
TAR_46,FAROUK RABIU ROAD,2,11.94156592,8.554554279,Pending,TARAUNI
TAR_13,ALI UNGUWAR GANO STREET,2,11.94328946,8.55359462,Pending,TARAUNI
TAR_127,SAGIR W.MAI IYALI STREET,2,11.94477125,8.552792516,Pending,TARAUNI
TAR_116,NAZIRU SARKIN WAKA STREET,2,11.94558037,8.552357706,Pending,TARAUNI
TAR_25,BARDE STREET,2,11.94667742,8.551740066,Pending,TARAUNI
TAR_91,MAI DOKI STREET,2,11.94840238,8.55058335,Pending,TARAUNI
TAR_30,BAYAN GANDU ROAD,2,11.9491242,8.550059755,Pending,TARAUNI
TAR_42,DARMANAWA ROAD,2,11.95321676,8.554581723,Pending,TARAUNI
TAR_87,LAYIN MAKABARTA ROAD,2,11.94725457,8.556750251,Pending,TARAUNI
TAR_158,YAN AWAKI ROAD,2,11.94843024,8.565873688,Pending,TARAUNI
TAR_146,TARAUNI MARKET ROAD,2,11.97539023,8.558331005,Pending,TARAUNI
TAR_89,SARKIN KASUWA STREET,2,11.97512952,8.559425424,Pending,TARAUNI
TAR_107,MASUDU STREET,2,11.975984,8.55976,Pending,TARAUNI
TAR_128,SALEH RIMIN GADO STREET,2,11.97573805,8.560454067,Pending,TARAUNI
TAR_136,SHADDA KOKO STREET,2,11.97632,8.560657,Pending,TARAUNI
TAR_70,JIBRIL WUDIL STREET,2,11.97597247,8.561058385,Pending,TARAUNI
TAR_43,DAURAWA QUARTERS ROAD,2,11.97496389,8.562019444,Pending,TARAUNI
NAS_125,GIDADO ROAD,2,11.97389444,8.561241667,Pending,NASSARAWA
TAR_81,LAYIN GIDAN DANEJI CLOSE,1,11.97384281,8.560990795,Pending,TARAUNI
TAR_131,SANI LAWAN STREET,2,11.973282,8.5582764,Pending,TARAUNI
TAR_99,MAL UZAIRU STREET,2,11.97210432,8.557390242,Pending,TARAUNI
TAR_96,MAIRUWA STREET,2,11.97308589,8.556407921,Pending,TARAUNI
NAS_170,KOFI STREET,2,11.9717719,8.555607813,Pending,NASSARAWA
TAR_104,MALAMI STREET,2,11.97132481,8.5554808,Pending,TARAUNI
TAR_125,SABBABU STREET,2,11.97069708,8.55660452,Pending,TARAUNI
TAR_108,MUHAMMED BELLO COUNCILLOR STREET,2,11.96922417,8.55781123,Pending,TARAUNI
TAR_5,ADO JA'AFAR STREET,2,11.97046389,8.558894444,Pending,TARAUNI
TAR_163,YAUTAI LINK,2,11.97133333,8.559488889,Pending,TARAUNI
TAR_80,LAYIN FARIN GIDA STREET,2,11.97456334,8.557185514,Pending,TARAUNI
TAR_23,BAGUDU STREET,2,11.97483535,8.557332688,Pending,TARAUNI
TAR_101,MAL. BILYA STREET,2,11.97689372,8.557152549,Pending,TARAUNI
TAR_82,LAYIN GWAN GWAN STREET,2,11.97766447,8.557738282,Pending,TARAUNI
